N,NT,T,TRS
10, 1, 0.203448, <10 trial(s)>
10, 5, 0.0579573, <10 trial(s)>
10, 10, 0.034073, <10 trial(s)>
10, 20, 0.0403715, <10 trial(s)>
10, 30, 0.0404182, <10 trial(s)>
10, 40, 0.0366716, <10 trial(s)>
100, 1, 2.03328, <10 trial(s)>
100, 5, 0.571463, <10 trial(s)>
100, 10, 0.338411, <10 trial(s)>
100, 20, 0.199003, <10 trial(s)>
100, 30, 0.189103, <10 trial(s)>
100, 40, 0.169865, <10 trial(s)>
1000, 1, 20.819, <1 trial(s)>
1000, 5, 5.44176, <1 trial(s)>
1000, 10, 3.19381, <1 trial(s)>
1000, 20, 1.69836, <10 trial(s)>
1000, 30, 1.45743, <10 trial(s)>
1000, 40, 1.27412, <10 trial(s)>
10000, 1, 242.388, <1 trial(s)>
10000, 5, 59.4925, <1 trial(s)>
10000, 10, 33.014, <1 trial(s)>
10000, 20, 17.1817, <10 trial(s)>
10000, 30, 14.1716, <10 trial(s)>
10000, 40, 12.6548, <10 trial(s)>
100000, 40, 136.554, <1 trial(s)>
